feature,auc,ks,smd,missing_pct
amount,0.623485903691917,0.31232014759090676,0.5466432403973496,31.92625
fraud_probability,0.5597125175349975,0.09076679731783166,0.22466148906873976,0.0
txn_count_24h,0.5285645307410176,0.04380242531167633,0.12010884003701999,0.0
distinct_recipients_24h,0.527171418392658,0.040652347004626,0.11477431873547723,0.0
llm_risk_score,0.5268230309842359,0.039969082850748405,0.09542006351636487,0.0
txn_count_1h,0.5207194825161806,0.03184119666804741,0.10957386343203723,0.0
velocity_score,0.517200288637967,0.03306773080841097,0.07168868351125782,0.0
account_age_days,0.49857814717491056,0.008958057252933305,-0.000223834169150032,0.0
asn,0.49709047865156214,0.009417919548459497,-0.010117931305200724,0.0
failed_logins_24h,0.4940233598802171,0.012294364891325182,-0.026183844000804365,0.0
